emettitore (cm),ricevitore (cm),DX (cm),SX (cm),V (Volt),sigmaV,SXmax (cm),Vmax  (Volt),sigmaVmax
10,100,70,50,1.96,0.02,49.40,2.48,0.05
,,,49,2.45,0.02,48.10,2.63,0.02
,,,48,2.55,0.02,46.50,2.62,0.02
,,,47,2.16,0.02,45.20,2.53,0.01
,,,46,2.13,0.01,43.60,2.50,0.02
,,,45,2.67,0.02,42.20,2.55,0.02
,,,44,2.26,0.02,40.80,2.52,0.01
,,,43,2.11,0.02,39.50,2.50,0.03
,,,42,2.14,0.02,38.00,2.48,0.02
,,,41,2.46,0.02,36.60,2.52,0.03
,,,40,2.11,0.02,35.20,2.50,0.03
,,,39,1.91,0.02,33.70,2.44,0.02
,,,38,2.59,0.02,32.30,2.30,0.02
,,,37,2.25,0.02,30.80,2.25,0.02
,,,36,1.90,0.02,29.50,2.16,0.02
,,,35,2.33,0.02,28.20,2.13,0.03
,,,34,2.28,0.02,,,
,,,33,2.02,0.02,,,
,,,32,1.94,0.02,,,
,,,31,2.31,0.02,,,
,,,30,2.08,0.02,,,
,,,29,1.74,0.02,,,
,,,28,2.26,0.02,,,
,,,27,2.08,0.02,,,
,,,26,1.75,0.02,,,
,,,25,2.08,0.02,,,
,,,24,2.07,0.02,,,
,,,23,1.89,0.02,,,
,,,22,1.82,0.02,,,
,,,21,2.11,0.02,,,
,,,20,2.04,0.02,,,
,,,19,1.80,0.02,,,
,,,18,2.08,0.02,,,
,,,17,2.08,0.02,,,
,,,16,1.78,0.02,,,
,,,15,1.89,0.02,,,
,,,14,2.28,0.02,,,
,,,13,2.29,0.02,,,
